epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.9425333;0.22046047881487757;0.001;0.9818999767303467;0.06953838422007975
1;0.9752667;0.09612346580973244;0.001;0.9894999861717224;0.0373960946222749
2;0.98066664;0.07459711473381224;0.001;0.9898999929428101;0.03442360203453263
3;0.98245;0.0650009282334955;0.001;0.9901999831199646;0.0348234348970349
4;0.98441666;0.059489917407891335;0.001;0.9904000163078308;0.03940502706896545
5;0.98606664;0.05391098960479964;0.001;0.9908000230789185;0.030433387554125807
6;0.9877667;0.04810388755202124;0.001;0.991100013256073;0.03558222884095941
7;0.98865;0.04470964270873016;0.001;0.9929999709129333;0.031187820425535664
8;0.98931664;0.042677087520755656;0.001;0.9929999709129333;0.027732450037395755
9;0.98981667;0.04017985783566722;0.001;0.992900013923645;0.02943785736135451
10;0.9900333;0.03905340774065998;0.001;0.9921000003814697;0.03091332312508771
11;0.99088335;0.034895513978731516;0.001;0.9918000102043152;0.03586438584449118
12;0.9916833;0.03383387389112015;0.001;0.9936000108718872;0.03249164193886671
13;0.9920667;0.03464373406706171;0.001;0.9934999942779541;0.027601364730272616
14;0.9920667;0.030430506355774573;0.001;0.9926999807357788;0.0313519336836602
15;0.9925;0.033076837509009686;0.001;0.9927999973297119;0.030616179243872655
16;0.99268335;0.02930173925898772;0.001;0.992900013923645;0.03269828333231879
17;0.99296665;0.031146291399474484;0.001;0.9944000244140625;0.028602125588019868
18;0.99298334;0.029341716451318757;0.001;0.9930999875068665;0.031521991403478285
19;0.9935833;0.02418604050337398;0.001;0.9940000176429749;0.031165136021567792
20;0.99325;0.026188403884425025;0.001;0.9940000176429749;0.03164902955089027
21;0.99408334;0.025371365784640484;0.001;0.9930999875068665;0.03317938576828925
22;0.9937;0.024371301028813956;0.001;0.9944000244140625;0.027159562752290468
23;0.99405;0.023414949566454103;0.001;0.9948999881744385;0.03112239937511642
24;0.9945167;0.02212655548803543;0.001;0.995199978351593;0.02776515364373811
25;0.9945167;0.021979635951439362;0.001;0.9944999814033508;0.03003661447228046
26;0.99465;0.02146878408405631;0.001;0.9950000047683716;0.03196266677914521
27;0.99455;0.022519977269039638;0.001;0.9948999881744385;0.031317863687954264
28;0.99443334;0.02323681034113209;0.001;0.9948999881744385;0.031959244602072036
29;0.9949667;0.020996427626668326;0.001;0.9944999814033508;0.027977936123531794
30;0.9953833;0.019099130720883248;0.001;0.9952999949455261;0.026395690380780365
31;0.99576664;0.01699795352086029;0.001;0.9952999949455261;0.024539318955872393
32;0.9950333;0.01918873006124959;0.001;0.9936000108718872;0.0318019878169278
33;0.99583334;0.017550800884547576;0.001;0.9945999979972839;0.03239249404886723
34;0.9957;0.016214707337788622;0.001;0.9947999715805054;0.03092527797732871
35;0.99583334;0.01644476018603662;0.001;0.9944999814033508;0.03042947364230978
36;0.9957333;0.0185886270515538;0.001;0.994700014591217;0.030508032880473785
37;0.99595;0.017383780435235897;0.001;0.9940999746322632;0.03470972695640143
38;0.9957333;0.01848007330568775;0.001;0.9948999881744385;0.02915818004216104
39;0.99605;0.016597926102924394;0.001;0.9947999715805054;0.032059912549958484
40;0.9961;0.01654302881110556;0.001;0.9948999881744385;0.03542357396732949
